Wavenumber,ImaginaryRefractiveIndex
7606.56667574557,4.839981086912e-05
7606.08454588634,4.84999410848e-05
7605.60241602711,4.84999410848e-05
7605.12028616788,4.84999410848e-05
7604.63815630866,4.84999410848e-05
7604.15602644943,4.839981086912e-05
7603.6738965902,4.83001863616e-05
7603.19176673097,4.83001863616e-05
7602.70963687174,4.820005614592e-05
7602.22750701251,4.83001863616e-05
7601.74537715328,4.84999410848e-05
7601.26324729406,4.860007130048e-05
7600.78111743483,4.879982602368e-05
7600.2989875756,4.889995623936e-05
7599.81685771637,4.900008645504e-05
7599.33472785714,4.900008645504e-05
7598.85259799791,4.889995623936e-05
7598.37046813869,4.879982602368e-05
7597.88833827946,4.860007130048e-05
7597.40620842023,4.860007130048e-05
7596.924078561,4.870020151616e-05
7596.44194870177,4.889995623936e-05
7595.95981884254,4.900008645504e-05
7595.47768898332,4.910021667072e-05
7594.99555912409,4.910021667072e-05
7594.51342926486,4.900008645504e-05
7594.03129940563,4.910021667072e-05
7593.5491695464,4.919984117824e-05
7593.06703968717,4.919984117824e-05
7592.58490982795,4.910021667072e-05
7592.10277996872,4.900008645504e-05
7591.62065010949,4.900008645504e-05
7591.13852025026,4.910021667072e-05
7590.65639039103,4.910021667072e-05
7590.1742605318,4.900008645504e-05
7589.69213067258,4.879982602368e-05
7589.21000081335,4.879982602368e-05
7588.72787095412,4.889995623936e-05
7588.24574109489,4.900008645504e-05
7587.76361123566,4.910021667072e-05
7587.28148137643,4.910021667072e-05
7586.79935151721,4.889995623936e-05
7586.31722165798,4.889995623936e-05
7585.83509179875,4.889995623936e-05
7585.35296193952,4.889995623936e-05
7584.87083208029,4.900008645504e-05
7584.38870222106,4.900008645504e-05
7583.90657236184,4.900008645504e-05
7583.42444250261,4.889995623936e-05
7582.94231264338,4.889995623936e-05
7582.46018278415,4.900008645504e-05
7581.97805292492,4.910021667072e-05
7581.49592306569,4.929997139392e-05
7581.01379320647,4.919984117824e-05
7580.53166334724,4.900008645504e-05
7580.04953348801,4.879982602368e-05
7579.56740362878,4.870020151616e-05
7579.08527376955,4.889995623936e-05
7578.60314391032,4.910021667072e-05
7578.12101405109,4.929997139392e-05
7577.63888419187,4.929997139392e-05
7577.15675433264,4.919984117824e-05
7576.67462447341,4.910021667072e-05
7576.19249461418,4.900008645504e-05
7575.71036475495,4.889995623936e-05
7575.22823489573,4.889995623936e-05
7574.7461050365,4.900008645504e-05
7574.26397517727,4.910021667072e-05
7573.78184531804,4.910021667072e-05
7573.29971545881,4.910021667072e-05
7572.81758559958,4.910021667072e-05
7572.33545574035,4.910021667072e-05
7571.85332588113,4.910021667072e-05
7571.3711960219,4.910021667072e-05
7570.88906616267,4.910021667072e-05
7570.40693630344,4.910021667072e-05
7569.92480644421,4.929997139392e-05
7569.44267658498,4.94001016096e-05
7568.96054672576,4.94001016096e-05
7568.47841686653,4.94001016096e-05
7567.9962870073,4.94001016096e-05
7567.51415714807,4.929997139392e-05
7567.03202728884,4.919984117824e-05
7566.54989742961,4.919984117824e-05
7566.06776757039,4.919984117824e-05
7565.58563771116,4.94001016096e-05
7565.10350785193,4.969998654848e-05
7564.6213779927,4.990024697984e-05
7564.13924813347,4.990024697984e-05
7563.65711827424,4.969998654848e-05
7563.17498841502,4.95998563328e-05
7562.69285855579,4.950023182528e-05
7562.21072869656,4.95998563328e-05
7561.72859883733,4.95998563328e-05
7561.2464689781,4.969998654848e-05
7560.76433911887,4.969998654848e-05
7560.28220925965,4.980011676416e-05
7559.80007940042,4.980011676416e-05
7559.31794954119,4.990024697984e-05
7558.83581968196,4.980011676416e-05
7558.35368982273,4.980011676416e-05
7557.8715599635,4.969998654848e-05
7557.38943010428,4.95998563328e-05
